	PO59	PO47	SD1	PO82	PO78	PO81	SD22	PO44	SD37	SD43	PO57	PO61	SD18	SD35	PO65	SD32	PO76	SD7	SD30	SD23	SD15	SD26	SD38	SD28	SD24	SD9	SD27	PO60	PO79	PO80	SD39	CLASS
0	5	6	33	0	0	0	2	0	0	3	0	0	7	8	0	8	0	5	1	5	6	1	4	6	2	3	2	0	0	1	5	0
1	2	0	37	0	0	0	5	2	2	4	0	0	4	6	2	7	0	4	2	0	5	2	0	5	4	4	3	0	0	1	5	0
2	2	6	37	0	0	0	7	2	4	4	0	0	4	9	1	7	0	4	7	0	2	5	5	4	2	4	0	0	0	1	0	0
3	2	6	9	0	0	0	3	0	1	4	0	0	2	7	0	9	0	3	5	1	4	2	5	4	2	4	1	0	0	1	3	0
4	6	0	40	0	0	0	0	0	0	3	0	0	0	5	0	6	0	4	4	0	4	0	0	0	0	4	0	0	0	1	9	0
5	0	6	23	0	0	0	4	0	5	3	0	0	4	9	0	5	0	5	9	2	2	2	2	4	2	5	2	0	0	0	3	0
6	0	6	39	0	0	0	4	0	4	5	0	0	5	9	0	8	0	2	6	1	6	1	3	5	5	5	4	0	0	0	3	0
7	0	0	33	0	0	0	2	0	2	3	0	0	6	6	0	4	0	7	0	5	4	1	5	5	2	2	2	0	0	0	3	0
8	0	5	33	0	0	0	1	0	7	3	0	0	8	7	0	5	0	1	9	8	3	1	2	8	1	6	0	0	0	0	1	0
9	3	0	11	0	0	0	3	2	2	7	0	0	5	6	1	6	0	5	0	3	6	2	3	4	3	2	1	0	0	1	3	0
10	0	6	10	0	0	0	9	0	0	7	0	0	3	5	0	6	0	4	0	0	6	0	3	0	0	4	6	0	0	0	2	0
11	2	5	9	0	0	0	5	2	3	4	0	0	1	4	1	7	0	3	6	1	5	3	4	1	1	4	4	0	0	1	3	0
12	0	6	33	0	0	0	3	0	3	3	0	0	5	7	0	6	0	4	5	2	3	2	4	5	4	4	2	0	0	0	3	0
13	0	0	41	0	0	0	2	0	3	4	0	0	4	8	0	7	0	5	5	2	5	2	2	4	2	4	1	0	0	0	4	0
14	2	5	23	0	0	0	4	2	4	3	0	0	2	5	1	5	0	6	9	3	1	3	3	4	2	2	2	0	0	1	3	0
15	4	0	33	0	0	0	2	2	2	3	0	0	6	6	1	4	0	7	0	5	4	1	5	5	2	2	2	0	0	1	3	0
16	0	0	38	0	0	0	4	0	0	4	0	0	2	4	0	7	0	6	6	0	3	2	1	2	4	3	4	0	0	0	6	0
17	3	6	22	0	0	0	1	2	0	2	0	0	7	7	1	6	0	5	4	1	7	0	6	7	5	4	0	0	0	1	3	0
18	2	5	13	0	0	0	3	2	2	6	0	0	1	5	1	7	0	4	4	0	6	2	2	2	1	3	1	0	0	1	6	0
19	0	0	31	0	0	0	2	0	5	1	0	0	9	9	0	7	0	2	9	4	3	0	4	7	4	7	0	0	0	0	0	0
20	0	6	33	0	0	0	0	0	3	3	0	0	9	9	0	7	0	6	9	6	6	0	5	6	0	3	3	0	0	0	2	0
21	4	6	33	0	0	0	4	2	3	3	0	0	7	9	1	7	0	4	0	0	7	0	6	4	3	3	5	0	0	1	0	0
22	4	6	13	0	0	0	2	2	1	6	0	0	1	5	1	7	0	7	4	0	6	1	1	1	1	2	3	0	0	1	8	0
23	0	0	34	0	0	0	2	0	0	6	0	0	7	9	0	5	0	7	2	4	5	0	5	5	2	2	4	0	0	0	4	0
24	0	0	13	0	0	0	3	0	0	6	0	0	2	4	0	8	0	4	1	3	6	3	5	3	0	4	3	0	0	0	4	0
25	4	0	33	0	0	0	4	2	0	3	0	0	6	7	1	7	0	6	2	2	5	2	4	5	4	2	2	0	0	1	5	0
26	0	6	37	0	0	0	5	0	2	4	0	0	2	5	0	9	0	5	8	2	6	3	3	2	2	4	3	0	0	0	3	0
27	3	0	40	0	0	0	0	2	4	3	0	0	7	7	1	7	0	3	2	2	5	1	2	3	0	6	5	0	0	1	4	0
28	0	0	31	0	0	0	0	0	9	1	0	0	9	7	0	3	0	9	9	3	9	4	0	5	5	0	0	0	0	0	0	0
29	3	0	33	0	0	0	2	2	5	3	0	0	7	8	1	5	0	7	8	6	5	2	3	7	1	2	1	0	0	1	2	0
30	3	6	24	0	0	0	5	2	5	2	0	0	3	9	1	7	0	3	5	3	3	1	3	4	0	4	4	0	0	1	2	0
31	0	0	23	0	0	0	1	0	4	3	0	0	0	6	0	7	0	4	6	1	3	3	4	1	5	4	6	0	0	0	2	0
32	3	6	33	0	0	0	2	0	4	3	0	0	6	7	0	5	0	4	4	4	7	1	2	5	1	5	1	0	0	1	4	0
33	0	0	38	0	0	0	3	0	4	4	0	0	5	8	0	6	0	5	6	2	3	2	3	3	3	2	1	0	0	0	3	0
34	3	0	13	0	0	0	3	0	0	6	0	0	2	4	0	8	0	4	1	3	6	3	5	3	0	4	3	0	0	1	4	0
35	3	6	8	0	1	0	3	2	3	7	2	0	2	6	1	7	1	4	6	1	5	2	4	3	3	4	2	0	0	1	3	0
36	4	6	7	0	0	0	7	2	0	6	0	0	0	7	1	7	0	7	0	0	3	3	6	0	0	0	4	0	0	1	3	0
37	1	0	41	0	0	0	3	0	2	4	0	0	6	6	0	6	0	7	3	2	3	2	7	4	3	2	3	0	0	1	1	0
38	6	0	39	0	0	0	2	0	7	5	0	0	6	6	0	3	0	6	7	5	9	2	0	4	2	3	4	0	0	1	2	0
39	4	5	33	0	0	0	1	2	3	3	0	0	8	9	1	6	0	2	3	6	6	1	5	8	3	5	1	0	0	1	2	0
